Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Best Lap Time,Number of Laps,Remaining_Days,Goal_Distance,Goal_Time,Fatigue
Running,7/15/20 9:41,Cherry Hill Running,6.0,530,0:43:55,141,160,176,182,7:19,6:20,169,173,1.26,00:02.3,7,85,42195,12632,22.926772888740775
Running,7/14/20 17:45,Cherry Hill Running,6.5,587,0:47:04,144,160,172,182,7:14,6:35,183,187,1.29,03:32.7,7,478,42195,12632,57.317704993359
Running,7/13/20 18:57,Cherry Hill Running,5.01,392,0:40:29,128,151,170,180,8:05,5:49,124,124,1.17,00:04.1,6,554,42195,12632,37.53280104948684
Running,7/12/20 18:44,Cherry Hill Running,7.01,633,0:52:55,142,157,172,180,7:33,5:00,215,219,1.24,00:05.1,8,159,42195,12632,31.323913401846326
Running,7/11/20 19:35,Cherry Hill Running,5.19,419,0:41:35,129,143,170,178,8:01,6:48,76,80,1.18,01:27.1,6,573,42195,12632,95.98240441458155
Running,7/10/20 17:54,Ocean City Running,6.51,539,0:45:48,140,155,170,176,7:02,5:55,16,16,1.35,03:28.7,7,176,42195,12632,78.92340893358764
Running,7/9/20 19:02,Ocean City Running,5.01,448,0:35:11,146,159,172,180,7:02,2:04,7,7,1.33,00:03.4,6,445,42195,12632,24.598144751012562
Running,7/8/20 18:13,Ocean City Running,5.0,458,0:35:29,147,172,172,186,7:06,5:18,20,20,1.32,00:01.8,6,237,42195,12632,5.1420609098909225
Running,7/6/20 9:43,Ocean City Running,6.0,542,0:42:31,146,167,174,182,7:05,4:24,25,25,1.3,00:02.6,7,347,42195,12632,5.878805129754472
Running,7/5/20 18:08,Ocean City Running,3.11,240,0:25:04,125,144,170,176,8:04,6:22,23,23,1.17,00:50.4,4,79,42195,12632,59.24142491312181
Running,7/4/20 7:56,Ocean City Running,5.52,396,0:44:49,125,145,172,182,8:07,7:02,19,19,1.16,03:54.8,6,623,42195,12632,93.74906919317475
Running,7/3/20 18:16,Ocean City Running,5.0,466,0:35:12,149,163,172,182,7:02,5:49,44,44,1.32,00:02.2,6,2,42195,12632,49.974612500773866
Running,7/2/20 20:21,Ocean City Running,4.01,325,0:32:16,129,141,168,176,8:03,6:57,39,39,1.19,00:03.5,5,664,42195,12632,62.381111902986106
Running,7/1/20 16:29,Cherry Hill Running,5.56,495,0:39:49,146,167,172,184,7:09,5:57,199,204,1.31,04:15.6,6,250,42195,12632,6.742239366798208
Running,6/29/20 18:56,Cherry Hill Running,7.0,670,0:52:45,147,163,170,178,7:32,6:25,233,237,1.25,00:01.7,8,357,42195,12632,37.491783374897594
Running,6/28/20 19:21,Cherry Hill Running,5.31,447,0:44:06,133,152,168,178,8:18,7:00,221,217,1.15,02:30.2,6,125,42195,12632,60.74203209565684
Running,6/27/20 17:27,Cherry Hill Running,6.38,584,0:49:03,141,160,170,178,7:42,4:08,198,204,1.23,02:57.9,7,67,42195,12632,67.18117883473506
Running,6/26/20 18:22,Cherry Hill Running,5.0,431,0:39:06,136,154,172,180,7:49,7:05,137,139,1.2,00:01.1,6,284,42195,12632,52.1740630135178
Running,6/25/20 17:47,Cherry Hill Running,7.0,639,0:50:05,147,162,172,180,7:09,6:14,205,213,1.32,00:02.8,8,274,42195,12632,59.17713460081957
Running,6/24/20 18:13,Cherry Hill Running,6.0,543,0:47:07,139,160,172,178,7:51,6:38,205,200,1.2,00:00.6,7,84,42195,12632,46.80479877960357
Running,6/23/20 18:56,Cherry Hill Running,5.14,504,0:37:47,150,191,170,180,7:21,6:03,138,145,1.28,00:59.1,6,475,42195,12632,19.649463440660185
Running,6/21/20 17:40,Chicago Running,6.0,520,0:41:23,145,157,172,178,6:54,6:07,105,105,1.36,00:00.6,7,275,42195,12632,70.43008192591259
Running,6/20/20 8:58,Chicago Running,4.02,328,0:34:04,127,152,172,178,8:29,6:49,47,47,1.11,00:10.2,5,50,42195,12632,25.295763709415866
Running,6/18/20 17:47,Cherry Hill Running,5.0,440,0:39:47,136,152,170,178,7:57,7:07,169,162,1.18,00:01.0,6,91,42195,12632,73.96131847118623
Running,6/17/20 18:02,Cherry Hill Running,7.01,625,0:50:04,146,162,170,178,7:09,5:58,200,207,1.33,00:05.0,8,310,42195,12632,35.77068413378067
Running,6/16/20 9:50,Ocean City Running,6.0,576,0:42:33,151,175,172,178,7:05,6:25,49,49,1.32,00:01.4,7,330,42195,12632,82.35748925082343
Running,6/15/20 18:07,Ocean City Running,4.12,283,0:33:39,120,136,170,180,8:10,6:34,22,22,1.16,00:55.9,5,178,42195,12632,99.35656900345855
Running,6/14/20 10:40,Ocean City Running,7.75,582,1:02:25,130,151,170,182,8:03,3:54,57,57,1.17,05:57.9,8,682,42195,12632,59.79714855722731
Running,6/13/20 18:09,Ocean City Running,5.0,430,0:39:45,135,169,172,178,7:57,1:58,39,39,1.17,00:01.6,6,291,42195,12632,96.79422888781023
Running,6/11/20 18:10,Cherry Hill Running,7.0,616,0:50:54,143,161,172,180,7:16,6:22,220,226,1.29,00:01.0,8,397,42195,12632,89.01801934072766
Running,6/10/20 20:28,Cherry Hill Running,5.0,429,0:40:37,134,153,168,178,8:07,6:55,109,107,1.17,00:01.6,6,254,42195,12632,90.22127263917237
Running,6/9/20 17:42,Cherry Hill Running,4.16,373,0:32:08,139,153,170,176,7:43,6:21,102,105,1.23,01:13.7,5,218,42195,12632,59.698610386799004
Running,6/8/20 18:00,Cherry Hill Running,8.46,763,1:01:19,147,163,172,178,7:15,6:27,279,283,1.3,03:14.6,9,68,42195,12632,57.229689092882616
Running,6/7/20 17:46,Cherry Hill Running,5.13,443,0:38:25,141,163,170,178,7:29,5:06,139,146,1.26,00:59.3,6,566,42195,12632,35.326782392449196
Running,6/6/20 18:39,Cherry Hill Running,5.0,465,0:38:15,145,157,172,182,7:39,5:45,134,136,1.22,07:28.0,5,462,42195,12632,5.039298528062297
Running,6/5/20 16:48,Cherry Hill Running,4.77,353,0:38:52,128,164,170,178,8:09,7:20,75,78,1.17,06:03.3,5,559,42195,12632,62.03555460956949
Running,6/4/20 18:33,Cherry Hill Running,5.0,458,0:39:47,142,154,170,178,7:57,6:59,135,131,1.19,00:02.0,6,500,42195,12632,41.38741985841683
